Halal,NAME,BSE-ID,NSECode,Industry,More
no,ALCHEMIST REALTY LTD.,AREALTY,,Construction,More
yes,ALEMBIC LTD.,ALEMBICLTD,ALEMBICLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,More
yes,ALEMBIC PHARMACEUTICALS LTD.,APLLTD,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,More
yes,Alexander Stamps And Coin Ltd,ALEXANDER,,Diversified.,More
no,ALFA ICA (INDIA) LTD.,ALFAICA,,Miscellaneous,More
yes,ALFA TRANSFORMERS LTD.,ALFATRAN,,Electric Equipment,More
no,ALFAVISION OVERSEAS (INDIA) LTD.,ALFAVIO,,Miscellaneous,More
no,ALFRED HERBERT (INDIA) LTD.,ALFREDHE,,Finance & Investments,More
yes,ALICON CASTALLOY LIMITED,ALICON,ALICON,Auto Ancillaries,More
yes,ALKA INDIA LTD.,ALKA,,Textiles - Cotton/Blended,More
no,ALKA SECURITIES LTD.,ALKASEC,,Finance & Investments,More
yes,ALKALI METALS LTD.,ALKALI,ALKALI,Chemicals,More
yes,ALKEM LABORATORIES LTD,ALKEM,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,More
yes,Alkosign Ltd,ALKOSIGN,,Stationary,More
yes,ALKYL AMINES CHEMICALS LTD.,ALKYLAMINE,ALKYLAMINE,Chemicals,More
yes,All E Technologies Ltd,,ALLETEC,,More
yes,Allcargo Gati,ACLGATI,ACLGATI,Couriers,More
yes,ALLCARGO LOGISTICS LTD.,ALLCARGO,ALLCARGO,Miscellaneous,More
no,Allcargo Termi,ATL,ATL,Miscellaneous,More
no,ALLIANCE INTEGRATED METALIKS LTD.,AIML,,Steel - Medium / Small,More
yes,ALLIED DIGITAL SERVICES LTD.,ADSL,ADSL,Computers - Software - Medium / Small,More
yes,ALLSEC TECHNOLOGIES LTD.,ALLSEC,ALLSEC,Computers - Software - Medium / Small,More
no,ALMONDZ GLOBAL SECURITIES LTD.,ALMONDZ,ALMONDZ,Finance & Investments,More
no,ALOK INDUSTRIES LTD.,ALOKTEXT,ALOKINDS,Textiles - Processing,More
yes,ALPA LABORATORIES LTD.,ALPA,ALPA,Pharmaceuticals - Indian - Formulations,More
